team,player,position,club
Qatar,Salah Zakaria,Goalkeeper,Al-Duhail
Qatar,Meshaal Barsham,Goalkeeper,Al-Sadd
Qatar,Assim Madibo,Midfielder,Al-Wakrah
Qatar,Tahsin Jamshid,Forward,Al-Duhail
Qatar,Al-Hashmi Al-Hussain,Defender,Al-Arabi
Qatar,Mohamed Manai,Forward,Al-Shamal
South Africa,Ronwen Williams,Goalkeeper,Mamelodi Sundowns
South Africa,Thabang Matuludi,Defender,Polokwane City
South Africa,Khulumani Ndamane,Defender,Mamelodi Sundowns
South Africa,Teboho Mokoena,Midfielder,Mamelodi Sundowns
South Africa,Thalente Mbatha,Midfielder,Orlando Pirates
South Africa,Aubrey Modiba,Defender,Mamelodi Sundowns
South Africa,Oswin Appollis,Forward,Orlando Pirates
South Africa,Tshepang Moremi,Forward,Orlando Pirates
South Africa,Lyle Foster,Forward,Burnley
South Africa,Relebohile Mofokeng,Forward,Orlando Pirates
South Africa,Themba Zwane,Midfielder,Mamelodi Sundowns
South Africa,Thapelo Maseko,Forward,AEL Limassol
South Africa,Sphephelo Sithole,Midfielder,Tondela
South Africa,Mbekezeli Mbokazi,Defender,Chicago Fire FC
South Africa,Iqraam Rayners,Forward,Mamelodi Sundowns
South Africa,Sipho Chaine,Goalkeeper,Orlando Pirates
South Africa,Evidence Makgopa,Forward,Orlando Pirates
South Africa,Samukele Kabini,Defender,Molde
South Africa,Nkosinathi Sibisi,Defender,Orlando Pirates
South Africa,Khuliso Mudau,Defender,Mamelodi Sundowns
South Africa,Ime Okon,Defender,Hannover 96
South Africa,Ricardo Goss,Goalkeeper,Siwelele
South Africa,Jayden Adams,Midfielder,Mamelodi Sundowns
South Africa,Olwethu Makhanya,Defender,Philadelphia Union
South Africa,Kamogelo Sebelebele,Forward,Orlando Pirates
South Africa,Bradley Cross,Defender,Kaizer Chiefs
South Korea,Kim Seung-gyu,Goalkeeper,FC Tokyo
South Korea,Lee Han-beom,Defender,Midtjylland
South Korea,Lee Gi-hyuk,Midfielder,Gangwon FC
South Korea,Kim Min-jae,Defender,Bayern Munich
South Korea,Kim Tae-hyeon,Defender,Kashima Antlers
South Korea,Hwang In-beom,Midfielder,Feyenoord
South Korea,Son Heung-min,Forward,Los Angeles FC
South Korea,Paik Seung-ho,Midfielder,Birmingham City
South Korea,Cho Gue-sung,Forward,Midtjylland
South Korea,Lee Jae-sung,Midfielder,Mainz 05
South Korea,Hwang Hee-chan,Midfielder,Wolverhampton Wanderers
South Korea,Song Bum-keun,Goalkeeper,Jeonbuk Hyundai Motors
South Korea,Lee Tae-seok,Defender,Austria Wien
South Korea,Cho Wi-je,Defender,Jeonbuk Hyundai Motors
South Korea,Kim Moon-hwan,Defender,Daejeon Hana Citizen
South Korea,Park Jin-seob,Defender,Zhejiang
South Korea,Bae Jun-ho,Midfielder,Stoke City
South Korea,Oh Hyeon-gyu,Forward,Beşiktaş
South Korea,Lee Kang-in,Midfielder,Paris Saint-Germain
South Korea,Yang Hyun-jun,Midfielder,Celtic
South Korea,Jo Hyeon-woo,Goalkeeper,Ulsan HD
South Korea,Seol Young-woo,Defender,Red Star Belgrade
South Korea,Jens Castrop,Defender,Borussia Mönchengladbach
South Korea,Kim Jin-gyu,Midfielder,Jeonbuk Hyundai Motors
South Korea,Eom Ji-sung,Midfielder,Swansea City
South Korea,Lee Dong-gyeong,Midfielder,Ulsan HD
